,periodCode,platformCode,channelCode,marketingInvestment,clicks,visits,impressions,conversions,deliveries
0,2020-01-02,unpaid,direct,0.0,0,502,0,7,6
1,2020-01-02,unpaid,facebook,0.0,0,34,0,1,1
2,2020-01-02,unpaid,internal,0.0,0,130,0,0,0
3,2020-01-02,unpaid,notset,0.0,0,33,0,2,2
4,2020-01-02,unpaid,organic,0.0,0,678,0,7,7
5,2020-01-02,unpaid,push,0.0,0,1,0,0,0
6,2020-01-02,unpaid,referral,0.0,0,253,0,1,1
7,2020-01-03,unpaid,direct,0.0,0,471,0,5,5
8,2020-01-03,unpaid,facebook,0.0,0,15,0,0,0
9,2020-01-03,unpaid,internal,0.0,0,129,0,1,1
10,2020-01-03,unpaid,notset,0.0,0,35,0,0,0
11,2020-01-03,unpaid,organic,0.0,0,629,0,6,6
12,2020-01-03,unpaid,referral,0.0,0,229,0,2,2
13,2020-01-04,unpaid,direct,0.0,0,459,0,1,1
14,2020-01-04,unpaid,facebook,0.0,0,21,0,0,0
15,2020-01-04,unpaid,internal,0.0,0,100,0,0,0
16,2020-01-04,unpaid,notset,0.0,0,5,0,0,0
17,2020-01-04,unpaid,organic,0.0,0,698,0,6,6
18,2020-01-04,unpaid,push,0.0,0,1,0,0,0
19,2020-01-04,unpaid,referral,0.0,0,296,0,1,1
20,2020-01-05,unpaid,direct,0.0,0,537,0,3,3
21,2020-01-05,unpaid,facebook,0.0,0,19,0,0,0
22,2020-01-05,unpaid,internal,0.0,0,104,0,0,0
23,2020-01-05,unpaid,notset,0.0,0,15,0,0,0
24,2020-01-05,unpaid,organic,0.0,0,676,0,8,8
25,2020-01-05,unpaid,referral,0.0,0,309,0,2,1
26,2020-01-06,unpaid,direct,0.0,0,6539,0,14,13
27,2020-01-06,unpaid,display,0.0,0,1,0,0,0
28,2020-01-06,unpaid,facebook,0.0,0,12,0,0,0
29,2020-01-06,unpaid,internal,0.0,0,153,0,0,0
30,2020-01-06,unpaid,notset,0.0,0,33,0,1,0
31,2020-01-06,unpaid,organic,0.0,0,752,0,10,8
32,2020-01-06,unpaid,referral,0.0,0,249,0,5,3
33,2020-01-07,unpaid,direct,0.0,0,538,0,14,12
34,2020-01-07,unpaid,facebook,0.0,0,18,0,0,0
35,2020-01-07,unpaid,internal,0.0,0,160,0,0,0
36,2020-01-07,unpaid,notset,0.0,0,33,0,2,2
37,2020-01-07,unpaid,organic,0.0,0,748,0,12,12
38,2020-01-07,unpaid,referral,0.0,0,333,0,1,1
39,2020-01-08,unpaid,direct,0.0,0,578,0,9,9
40,2020-01-08,unpaid,facebook,0.0,0,77,0,0,0
41,2020-01-08,unpaid,internal,0.0,0,114,0,0,0
42,2020-01-08,unpaid,notset,0.0,0,18,0,1,1
43,2020-01-08,unpaid,organic,0.0,0,700,0,7,7
44,2020-01-08,unpaid,referral,0.0,0,216,0,4,4
45,2020-01-09,unpaid,direct,0.0,0,564,0,8,8
46,2020-01-09,unpaid,display,0.0,0,1,0,0,0
47,2020-01-09,unpaid,facebook,0.0,0,26,0,0,0
48,2020-01-09,unpaid,internal,0.0,0,159,0,0,0
49,2020-01-09,unpaid,notset,0.0,0,30,0,1,1
50,2020-01-09,unpaid,organic,0.0,0,786,0,14,14
51,2020-01-09,unpaid,push,0.0,0,1,0,0,0
52,2020-01-09,unpaid,referral,0.0,0,235,0,3,3
53,2020-01-10,unpaid,direct,0.0,0,548,0,8,8
54,2020-01-10,unpaid,facebook,0.0,0,29,0,1,1
55,2020-01-10,unpaid,internal,0.0,0,144,0,0,0
56,2020-01-10,unpaid,notset,0.0,0,35,0,0,0
57,2020-01-10,unpaid,organic,0.0,0,654,0,10,10
58,2020-01-10,unpaid,referral,0.0,0,270,0,2,2
59,2020-01-11,unpaid,direct,0.0,0,491,0,4,4
60,2020-01-11,unpaid,facebook,0.0,0,85,0,0,0
61,2020-01-11,unpaid,internal,0.0,0,126,0,0,0
62,2020-01-11,unpaid,notset,0.0,0,14,0,0,0
63,2020-01-11,unpaid,organic,0.0,0,571,0,2,2
64,2020-01-11,unpaid,push,0.0,0,1,0,0,0
65,2020-01-11,unpaid,referral,0.0,0,298,0,1,1
66,2020-01-12,unpaid,direct,0.0,0,518,0,13,12
67,2020-01-12,unpaid,facebook,0.0,0,31,0,0,0
68,2020-01-12,unpaid,internal,0.0,0,113,0,0,0
69,2020-01-12,unpaid,notset,0.0,0,23,0,0,0
70,2020-01-12,unpaid,organic,0.0,0,698,0,8,8
71,2020-01-12,unpaid,referral,0.0,0,279,0,3,2
72,2020-01-13,unpaid,direct,0.0,0,607,0,9,8
73,2020-01-13,unpaid,facebook,0.0,0,18,0,0,0
74,2020-01-13,unpaid,internal,0.0,0,150,0,0,0
75,2020-01-13,unpaid,notset,0.0,0,31,0,2,2
76,2020-01-13,unpaid,organic,0.0,0,827,0,11,11
77,2020-01-13,unpaid,referral,0.0,0,242,0,0,0
78,2020-01-14,unpaid,direct,0.0,0,589,0,8,7
79,2020-01-14,unpaid,facebook,0.0,0,35,0,0,0
80,2020-01-14,unpaid,internal,0.0,0,163,0,0,0
81,2020-01-14,unpaid,notset,0.0,0,31,0,0,0
82,2020-01-14,unpaid,organic,0.0,0,736,0,12,10
83,2020-01-14,unpaid,push,0.0,0,1,0,0,0
84,2020-01-14,unpaid,referral,0.0,0,218,0,4,3
85,2020-01-15,unpaid,direct,0.0,0,538,0,8,8
86,2020-01-15,unpaid,facebook,0.0,0,12,0,0,0
87,2020-01-15,unpaid,internal,0.0,0,143,0,1,1
88,2020-01-15,unpaid,notset,0.0,0,37,0,2,1
89,2020-01-15,unpaid,organic,0.0,0,737,0,7,7
90,2020-01-15,unpaid,referral,0.0,0,207,0,0,0
